Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade
PLASTPÉROLA INDÚSTRIA E COMÉRCIO DE PLÁSTICOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
PRIMICIAS PRODUTOS DE LIMPEZA ME,ND,ND,ND,ND,Sub-região 17,Londrina
PROLIND COMPONENTES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
RABBIT IND COM PROD HIGIENE PESSOAL LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
RIZOBACTER DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
RODINATO - INDÚSTRIA E COMÉRCIO DE FERRAGENS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
ROGELLE'S JÓIAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
ROMALIGA INDUSTRIA E COMERCIO DE LIGAS METALICAS LTDA - ME,ND,ND,ND,ND,Sub-região 17,Londrina
SBS ENGENHARIA E CONSTRUÇÕES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SEARA INDUSTRIA E COMERCIO DE PRODUTOS AGRO-PECUARIOSLTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SIEGWERK BRASIL INDÚSTRIA DE TINTAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SIEGWERK BRASIL INDÚSTRIA DE TINTAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SONHART CONFECCOES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SONOCO DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SPIRONELLI E CIA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SULPLAST TINTAS E REVESTIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SUPERGASBRAS ENERGIA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
SYNBIOSIS LABORATÓRIOS DE MEDICAMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
TABACARIA GUANABARA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
TAM LINHAS AEREAS S/A,ND,ND,ND,ND,Sub-região 17,Londrina
TAM LINHAS AEREAS S/A,ND,ND,ND,ND,Sub-região 17,Londrina
THERMO KING DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
TOM LUZ ILUMINAÇÃO LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
TOP TUBOS LTDA - ME,ND,ND,ND,ND,Sub-região 17,Londrina
TOYO SEN-I DO BRASIL - AGRO-INDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
TRANSPORTADORA FALCAO LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
